name,displayName,types,layout,manaCost,manaValue,family,supportLevel,mechanics,targetMin,targetMax,targetZones,registeredActivatedAbilities,registeredTriggeredAbilities,cpuCast,cpuResolve,cpuTargetPlan,cpuActivatedPath,cpuPhasePath,legacyChecklistCount,nonblocking,notes
Daze,目くらまし,Instant,normal,1U,2,soft_counter,exact,counter|bounce,1,1,stack,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Fury,激情,Creature,normal,3RR,5,fury,exact,damage|exile|sacrifice|doubleStrike,0,1,battlefield,0,2,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Thud,ドスン,Sorcery,normal,R,1,thud,exact,damage|sacrifice,1,1,battlefield,0,0,yes,yes,yes,none,none,5,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Bayou,Bayou,Land,normal,,0,dual_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Choke,窒息,Enchantment,normal,2G,3,choke,bounded,tap|untap,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Swamp,沼,Land,normal,,0,basic_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Taiga,Taiga,Land,normal,,0,dual_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Abrade,削剥,Instant,normal,1R,2,modal_abrade,exact,damage|destroy,1,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Duress,強迫,Sorcery,normal,B,1,hand_discard,exact,discard|reveal,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Forest,森,Land,normal,,0,basic_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Island,島,Land,normal,,0,basic_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Plains,平地,Land,normal,,0,basic_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Ponder,思案,Sorcery,normal,U,1,ponder,exact,draw,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Berserk,狂暴化,Instant,normal,G,1,berserk,exact,damage|destroy|trample,1,1,battlefield,0,1,yes,yes,yes,none,direct-v9,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Karakas,カラカス,Land,normal,,0,karakas,exact,bounce|mana,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,0,yes,
Mountain,山,Land,normal,,0,basic_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Mox Opal,オパールのモックス,Artifact,normal,0,0,mox_opal,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Stock Up,食糧補充,Sorcery,normal,2U,3,stock_up,exact,,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Cosmogoyf,コスモゴイフ,Creature,normal,BG,2,cosmogoyf,exact,exile,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Dismember,四肢切断,Instant,normal,1B/PB/P,3,pump,exact,life,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Endurance,忍耐,Creature,normal,1GG,3,endurance,exact,exile|flash,1,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Pyroblast,紅蓮破,Instant,normal,R,1,color_hate,exact,destroy|counter,1,1,stack,0,0,yes,yes,yes,none,none,5,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Snuff Out,殺し,Instant,normal,3B,4,destroy_creature,exact,destroy|life,1,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Wasteland,不毛の大地,Land,normal,,0,land_destroy,exact,destroy|sacrifice|mana,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,0,yes,
Ad Nauseam,むかつき,Instant,normal,3BB,5,ad_nauseam,exact,life|reveal,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Barrowgoyf,バロウゴイフ,Creature,normal,2B,3,barrowgoyf,exact,mill|damage|lifelink,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Blast Zone,爆発域,Land,normal,,0,blast_zone,exact,destroy|sacrifice|mana,0,1,battlefield,3,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Blood Moon,血染めの月,Enchantment,normal,2R,3,blood_moon,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Bojuka Bog,ボジューカの沼（ぬま）,Land,normal,,0,bojuka_bog,exact,exile|mana|tap,1,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Brainstorm,渦まく知識,Instant,normal,U,1,brainstorm,exact,draw,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Chrome Mox,金属モックス,Artifact,normal,0,0,chrome_mox,exact,exile|mana,0,1,battlefield,1,1,yes,yes,yes,mana-core,registered-bounded,0,yes,
Death Wish,死せる願い,Sorcery,normal,1BB,3,wish,exact,exile|life,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Fatal Push,致命的な一押し,Instant,normal,B,1,destroy_creature,exact,destroy,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Flow State,没頭,Sorcery,normal,1U,2,flow_state,exact,,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Grindstone,丸砥石,Artifact,normal,1,1,grindstone,exact,mill,0,1,battlefield,1,0,yes,yes,yes,direct-v9,none,0,yes,
Hedge Maze,迷路庭園,Land,normal,,0,surveil_land,exact,surveil|tap,0,1,battlefield,0,1,yes,yes,yes,mana-core,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Hydroblast,水流破,Instant,normal,U,1,color_hate,exact,destroy|counter,1,1,stack,0,0,yes,yes,yes,none,none,5,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Invigorate,激励,Instant,normal,2G,3,pump,exact,life,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Progenitus,大祖始,Creature,normal,WWUUBBRRGG,10,progenitus,bounded,reveal,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Skateboard,スケートボード,Artifact,normal,1,1,skateboard,exact,tap,0,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Dark Depths,暗黒の深部,Land,normal,,0,dark_depths,bounded,destroy|sacrifice|token|indestructible|flying,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Dark Ritual,暗黒の儀式,Instant,normal,B,1,ritual,exact,mana,0,1,battlefield,0,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Dryad Arbor,ドライアドの東屋,Land|Creature,normal,,0,dryad_arbor,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Exploration,踏査,Enchantment,normal,G,1,exploration,exact,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Gaea's Will,ガイアの意志,Sorcery,normal,,0,gaea_will,bounded,exile|suspend,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Krosan Grip,クローサの掌握,Instant,normal,2G,3,destroy,exact,destroy,1,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Lotus Petal,水蓮の花びら,Artifact,normal,0,0,lotus_petal,exact,sacrifice,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Maze of Ith,イス卿の迷路,Land,normal,,0,maze_of_ith,exact,damage|tap|untap,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Mox Diamond,モックス・ダイアモンド,Artifact,normal,0,0,mox_diamond,exact,discard,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Omniscience,全知,Enchantment,normal,7UUU,10,omniscience,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Pyrokinesis,紅蓮操作,Instant,normal,4RR,6,distribute_damage,exact,damage|exile,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Urza's Mine,ウルザの鉱山,Land,normal,,0,urza_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Urza's Saga,ウルザの物語,Land|Enchantment,saga,,0,urzas_saga,bounded,search|sacrifice|token|mana|tutor,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,4,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Abrupt Decay,突然の衰微,Instant,normal,BG,2,destroy_nonland,exact,destroy|counter,1,1,battlefield,0,0,yes,yes,yes,none,none,0,yes,
Ancient Tomb,古えの墳墓,Land,normal,,0,ancient_tomb,exact,damage|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Brain Freeze,思考停止,Instant,normal,1U,2,brain_freeze,exact,mill|copy|storm,1,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,0,yes,
Cabal Ritual,陰謀団の儀式,Instant,normal,1B,2,cabal_ritual,exact,mana,0,1,battlefield,0,0,yes,yes,yes,mana-core,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Cunning Wish,狡猾な願い,Instant,normal,2U,3,wish,exact,exile|reveal,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Defense Grid,防御の光網,Artifact,normal,2,2,defense_grid,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Flusterstorm,狼狽の嵐,Instant,normal,U,1,flusterstorm,exact,counter|copy|storm,1,1,stack,0,1,yes,yes,yes,none,registered-bounded,0,yes,
Haywire Mite,機能不全ダニ,Creature|Artifact,normal,1,1,haywire_mite,exact,exile|sacrifice|life,0,1,battlefield,1,1,yes,yes,yes,direct-v9,registered-bounded,0,yes,
Hullbreacher,船殻破り,Creature,normal,2U,3,hullbreacher,exact,draw|token|flash,0,1,battlefield,0,0,yes,yes,yes,mana-core,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Manifold Key,多用途の鍵,Artifact,normal,1,1,manifold_key,exact,tap|untap,0,1,battlefield,2,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Mystic Forge,神秘の炉,Artifact,normal,4,4,mystic_forge,bounded,exile|life,0,1,battlefield,1,0,yes,yes,yes,direct-v9,none,2,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Planar Nexus,次元の結節点,Land,normal,,0,planar_nexus,exact,mana,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Serum Powder,血清の粉末,Artifact,normal,3,3,serum_powder,exact,draw|exile|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Sneak Attack,騙し討ち,Enchantment,normal,3R,4,sneak_attack,bounded,sacrifice,0,1,battlefield,0,1,yes,yes,yes,direct-v9,direct-v9,0,yes,rare interactions/continuous layers/hidden choices are conservatively approximated
Spell Pierce,呪文貫き,Instant,normal,U,1,soft_counter,exact,counter,1,1,stack,0,0,yes,yes,yes,none,none,0,yes,
Tear Asunder,羅（ら）利（り）骨（こっ）灰（ぱい）,Instant,normal,1G,2,exile,exact,exile,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
The One Ring,一つの指輪,Artifact,normal,4,4,one_ring,bounded,draw|destroy|life|indestructible,0,1,battlefield,1,2,yes,yes,yes,direct-v9,registered-bounded,0,yes,rare interactions/continuous layers/hidden choices are conservatively approximated
Thoughtseize,思考囲い,Sorcery,normal,B,1,hand_discard,exact,discard|life|reveal,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Toxic Deluge,毒の濁流,Sorcery,normal,2B,3,toxic_deluge,exact,life,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Urza's Tower,ウルザの塔,Land,normal,,0,urza_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Blazing Shoal,猛火の群れ,Instant,normal,XRR,2,blazing_shoal,exact,,1,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Chaos Defiler,ケイオス・ディファイラー,Creature|Artifact,normal,3BR,5,chaos_defiler,exact,destroy|trample,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Crop Rotation,輪作,Instant,normal,G,1,crop_rotation,exact,search|sacrifice|tutor,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Cursed Mirror,呪われた鏡,Artifact,normal,2R,3,cursed_mirror,exact,mana|copy,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Echoing Truth,残響する真実,Instant,normal,1U,2,echoing_truth,exact,bounce,1,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Force of Will,意志の力,Instant,normal,3UU,5,hard_counter,exact,exile|counter|life,1,1,stack,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Gemstone Mine,宝石鉱山,Land,normal,,0,gemstone_mine,exact,sacrifice|mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Ghost Quarter,幽霊街,Land,normal,,0,ghost_quarter,exact,search|destroy|sacrifice|mana|tutor,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,0,yes,
Goblin Welder,ゴブリンの溶接工,Creature,normal,R,1,goblin_welder,exact,sacrifice,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Great Furnace,大（だい）焼（しょう）炉（ろ）,Land|Artifact,normal,,0,artifact_land,exact,mana,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,0,yes,
Grim Monolith,厳かなモノリス,Artifact,normal,2,2,grim_monolith,exact,mana|tap|untap,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Melded Moxite,モーキサイト合（ごう）金（きん）,Artifact,normal,1R,2,melded_moxite,exact,draw|discard|sacrifice|token|tap,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Scalding Tarn,沸騰する小湖,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Show and Tell,実物提示教育,Sorcery,normal,2U,3,show_and_tell,bounded,,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Arena of Glory,栄光の闘技場,Land,normal,,0,arena_of_glory,bounded,mana|tap,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Blooming Marsh,花盛りの湿地,Land,normal,,0,fast_land,exact,mana|tap,0,1,battlefield,1,0,yes,yes,yes,mana-core,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Chain of Vapor,蒸気の連鎖,Instant,normal,U,1,chain_of_vapor,exact,bounce|sacrifice|copy,0,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Expedition Map,探検の地図,Artifact,normal,1,1,expedition_map,exact,search|sacrifice|reveal|tutor,0,1,battlefield,1,0,yes,yes,yes,direct-v9,none,0,yes,
Flooded Strand,溢れかえる岸辺,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Force of Vigor,活性の力,Instant,normal,2GG,4,destroy_multi,exact,destroy|exile,1,2,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Heartfire Hero,心火の英雄,Creature,normal,R,1,heartfire_hero,exact,damage,0,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Infernal Tutor,冥府の教示者,Sorcery,normal,1B,2,infernal_tutor,exact,search|reveal|tutor,0,1,battlefield,0,0,yes,yes,yes,none,none,5,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Lightning Bolt,稲妻,Instant,normal,R,1,damage,exact,damage,1,1,battlefield,0,0,yes,yes,yes,none,none,0,yes,
Pithing Needle,真髄の針,Artifact,normal,1,1,name_lock,exact,,0,1,battlefield,0,0,yes,yes,yes,none,none,2,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Polluted Delta,汚染された三角州,Land,normal,,0,fetch_land,exact,search|sacrifice|life|tutor,0,1,battlefield,1,0,yes,yes,yes,registered-bounded,none,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Prismari Charm,プリズマリの魔除け,Instant,normal,UR,2,prismari_charm,exact,draw|surveil|damage|bounce,1,2,battlefield,0,0,yes,yes,yes,none,none,3,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Slaughter Pact,殺戮の契約,Instant,normal,0,0,destroy_creature,exact,destroy,1,1,battlefield,0,1,yes,yes,yes,none,registered-bounded,0,yes,
Tormod's Crypt,トーモッドの墓所,Artifact,normal,0,0,grave_exile_artifact,exact,exile|sacrifice,0,1,battlefield,1,0,yes,yes,yes,direct-v9,none,0,yes,
Ugin's Binding,ウギンの束縛,Instant,normal,2U,3,ugin_binding,bounded,exile|bounce,1,1,battlefield,0,0,yes,yes,yes,none,none,3,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Veil of Summer,夏の帳,Instant,normal,G,1,veil,exact,draw|counter|hexproof,0,1,battlefield,0,0,yes,yes,yes,none,none,1,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Cacophony Scamp,騒音の悪獣,Creature,normal,R,1,cacophony_scamp,exact,damage|sacrifice,0,1,battlefield,0,2,yes,yes,yes,none,registered-bounded,0,yes,
Cavern of Souls,魂の洞窟,Land,normal,,0,cavern_of_souls,bounded,counter|mana,0,1,battlefield,2,0,yes,yes,yes,mana-core,none,1,yes,rare interactions/continuous layers/hidden choices are conservatively approximated; legacy checklist is bypassed for CPU by v9 nonblocking resolver
Disruptor Flute,攪乱のフルート,Artifact,normal,2,2,disruptor_flute,exact,flash,0,1,battlefield,0,0,yes,yes,yes,none,none,4,yes,legacy checklist is bypassed for CPU by v9 nonblocking resolver
Goblin Engineer,ゴブリンの技師,Creature,normal,1R,2,goblin_engineer,exact,search|sacrifice|tutor,0,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Legion Extruder,軍団の成形機械,Artifact,normal,1R,2,legion_extruder,exact,damage|sacrifice|token,0,1,battlefield,1,1,yes,yes,yes,registered-bounded,registered-bounded,0,yes,CPU uses registered ability metadata conservatively; not every strategic timing is exhaustive
Mishra's Bauble,ミシュラのガラクタ,Artifact,normal,0,0,mishras_bauble,exact,draw|sacrifice,0,1,battlefield,0,1,yes,yes,yes,direct-v9,direct-v9,0,yes,
